Open,Volume,date_FE,AAPL,AMZN,GOOGL,JP-MRGN,M-SOFT,NTFLX,NVDA,TSLA,VISA,Date,Company,Predicted_Close
39.264999,87481200,0,1,0,0,0,0,0,0,0,0,8/7/17,AAPL,39.30743402
39.974998,163217200,3,1,0,0,0,0,0,0,0,0,8/10/17,AAPL,39.83354488
40.130001,111762400,8,1,0,0,0,0,0,0,0,0,8/17/17,AAPL,40.11494933
39.375,105474000,10,1,0,0,0,0,0,0,0,0,8/21/17,AAPL,39.37726346
39.912498,101920400,14,1,0,0,0,0,0,0,0,0,8/25/17,AAPL,39.92391021
40.950001,109078400,17,1,0,0,0,0,0,0,0,0,8/30/17,AAPL,40.94333008
41.200001,66364400,19,1,0,0,0,0,0,0,0,0,9/1/17,AAPL,41.29725637
40.215,114446000,23,1,0,0,0,0,0,0,0,0,9/8/17,AAPL,40.19879985
40.0275,113077600,29,1,0,0,0,0,0,0,0,0,9/18/17,AAPL,40.01715305
39.474998,211805600,31,1,0,0,0,0,0,0,0,0,9/20/17,AAPL,39.22682752
38.950001,150046800,32,1,0,0,0,0,0,0,0,0,9/21/17,AAPL,38.85295344
37.884998,186581600,33,1,0,0,0,0,0,0,0,0,9/22/17,AAPL,37.70154698
37.945,146640000,35,1,0,0,0,0,0,0,0,0,9/26/17,AAPL,37.8590822
38.450001,102016800,36,1,0,0,0,0,0,0,0,0,9/27/17,AAPL,38.47182692
38.4725,88022000,37,1,0,0,0,0,0,0,0,0,9/28/17,AAPL,38.52860711
38.564999,74795200,39,1,0,0,0,0,0,0,0,0,10/2/17,AAPL,38.65376873
38.407501,80655200,41,1,0,0,0,0,0,0,0,0,10/4/17,AAPL,38.48306459
38.544998,85135200,42,1,0,0,0,0,0,0,0,0,10/5/17,AAPL,38.60981886
38.7425,69630400,43,1,0,0,0,0,0,0,0,0,10/6/17,AAPL,38.84495867
39.014999,62468000,45,1,0,0,0,0,0,0,0,0,10/10/17,AAPL,39.13509164
38.9925,67622400,46,1,0,0,0,0,0,0,0,0,10/11/17,AAPL,39.10049426
